series,episode,title,stardate,airdate
TNG,68,The Most Toys,43872.2,"7 May, 1990"
TNG,69,Sarek,43917.4,"14 May, 1990"
TNG,70,Menage A Troi,43930.7,"28 May, 1990"
TNG,71,Transfigurations,43957.2,"4 Jun, 1990"
TNG,72,The Best of Both Worlds Part 1,43989.1,"18 Jun, 1990"
TNG,73,The Best of Both Worlds Part 2,44001.4,"24 Sep, 1990"
TNG,74,Family,44012.3,"1 Oct, 1990"
TNG,75,Brothers,44085.7,"8 Oct, 1990"
TNG,76,Suddenly Human,44143.7,"15 Oct, 1990"
TNG,77,Remember Me,44161.2,"22 Oct, 1990"
TNG,78,Legacy,44215.2,"29 Oct, 1990"
TNG,79,Reunion,44246.3,"5 Nov, 1990"
TNG,80,Future Imperfect,44286.5,"12 Nov, 1990"
TNG,81,Final Mission,44307.3,"19 Nov, 1990"
TNG,82,The Loss,44356.9,"31 Dec, 1990"
TNG,83,Data's Day,44390.1,"7 Jan, 1991"
TNG,84,The Wounded,44429.6,"28 Jan, 1991"
TNG,85,Devil's Due,44474.5,"4 Feb, 1991"
TNG,86,Clues,44502.7,"11 Feb, 1991"
TNG,87,First Contact,Unknown,"18 Feb, 1991"
TNG,88,Galaxy's Child,44614.6,"11 Mar, 1991"
TNG,89,Night Terrors,44631.2,"18 Mar, 1991"
TNG,90,Identity Crisis,44664.5,"25 Mar, 1991"
TNG,91,The Nth Degree,44704.2,"1 Apr, 1991"
TNG,92,Qpid,44741.9,"22 Apr, 1991"
TNG,93,The Drumhead,44769.2,"29 Apr, 1991"
TNG,94,Half A Life,44805.3,"6 May, 1991"
TNG,95,The Host,44821.3,"13 May, 1991"
TNG,96,The Mind's Eye,44885.5,"27 May, 1991"
TNG,97,In Theory,44932.3,"3 Jun, 1991"
TNG,98,Redemption Part 1,44995.3,"17 Jun, 1991"
TNG,99,Redemption Part 2,45020.4,"23 Sep, 1991"
TNG,100,Darmok,45047.2,"30 Sep, 1991"
TNG,101,Ensign Ro,45076.3,"7 Oct, 1991"
TNG,102,Silicon Avatar,45122.3,"14 Oct, 1991"
TNG,103,Disaster,45156.1,"21 Oct, 1991"
TNG,104,The Game,45208.2,"28 Oct, 1991"
TNG,105,Unification Part 1,45236.4,"4 Nov, 1991"
TNG,106,Unification Part 2,45245.8,"11 Nov, 1991"
TNG,107,A Matter of Time,45349.1,"18 Nov, 1991"
TNG,108,New Ground,45376.3,"6 Jan, 1992"
TNG,109,Hero Worship,45397.3,"27 Jan, 1992"
TNG,110,Violations,45429.3,"3 Feb, 1992"
TNG,111,The Masterpiece Society,45470.1,"10 Feb, 1992"
TNG,112,Conundrum,45494.2,"17 Feb, 1992"
TNG,113,Power Play,45571.2,"24 Feb, 1992"
TNG,114,Ethics,45587.3,"2 Mar, 1992"
TNG,115,The Outcast,45614.6,"16 Mar, 1992"
TNG,116,Cause and Effect,45652.1,"23 Mar, 1992"
TNG,117,The First Duty,45703.9,"30 Mar, 1992"
TNG,118,Cost of Living,45733.6,"20 Apr, 1992"
TNG,119,The Perfect Mate,45761.3,"27 Apr, 1992"
TNG,120,Imaginary Friend,45832.1,"4 May, 1992"
TNG,121,"I, Borg",45854.2,"11 May, 1992"
TNG,122,The Next Phase,45092.4,"18 May, 1992"
TNG,123,The Inner Light,45944.1,"1 Jun, 1992"
TNG,124,Times Arrow Part 1,45959.1,"15 Jun, 1992"
TNG,125,Times Arrow Part 2,46001.3,"21 Sep, 1992"
TNG,126,Realm of Fear,46041.1,"28 Sep, 1992"
TNG,127,Man of The People,46071.6,"5 Oct, 1992"
TNG,128,Relics,46125.3,"12 Oct, 1992"
TNG,129,Schisms,46154.2,"19 Oct, 1992"
TNG,130,True Q,46192.3,"26 Oct, 1992"
TNG,131,Rascals,46235.7,"2 Nov, 1992"
TNG,132,A Fistful of Datas,46271.5,"9 Nov, 1992"
TNG,133,The Quality of Life,46307.2,"16 Nov, 1992"
TNG,134,Chain of Command Part 1,46357.4,"14 Dec, 1992"
TNG,135,Chain of Command Part 2,46360.8,"14 Dec, 1992"
TNG,136,Ship in a Bottle,46424.1,"25 Jan, 1993"
TNG,137,Aquiel,46461.3,"1 Feb, 1993"
TNG,138,Face of the Enemy,46519.1,"8 Feb, 1993"
TNG,139,Tapestry,Unknown,"15 Feb, 1993"
TNG,140,Birthright Part 1,46678.4,"22 Feb, 1993"
TNG,141,Birthright Part 2,46579.2,"1 Mar, 1993"
TNG,142,Starship Mine,46682.4,"29 Mar, 1993"
TNG,143,Lessons,46693.1,"3 Apr, 1993"
TNG,144,The Chase,46731.5,"26 Apr, 1993"
TNG,145,Frame of Mind,46778.1,"3 May, 1993"
TNG,146,Suspicions,46830.1,"10 May, 1993"
TNG,147,Rightful Heir,46852.2,"17 May, 1993"
TNG,148,Second Chances,46915.2,"24 May, 1993"
TNG,149,Timescape,46944.2,"14 Jun, 1993"
TNG,150,Descent Part 1,46982.1,"21 Jun, 1993"
TNG,151,Descent Part 2,47025.4,"20 Sep, 1993"
TNG,152,Liaisons,Unknown,"27 Sep, 1993"
TNG,153,Interface,47215.5,"4 Oct, 1993"
TNG,154,Gambit Part 1,47135.2,"11 Oct, 1993"
TNG,155,Gambit Part 2,47160.1,"18 Oct, 1993"
TNG,156,Phantasms,47225.7,"25 Oct, 1993"
TNG,157,Dark Page,47254.1,"1 Nov, 1993"
TNG,158,Attached,47304.2,"8 Nov, 1993"
TNG,159,Force of Nature,47310.2,"15 Nov, 1993"
TNG,160,Inheritance,47410.2,"22 Nov, 1993"
TNG,161,Parallels,47391.2,"29 Nov, 1993"
TNG,162,The Pegasus,47457.1,"10 Jan, 1994"
TNG,163,Homeward,47423.9,"17 Jan, 1994"
TNG,164,Sub Rosa,47423.9,"31 Jan, 1994"
TNG,165,Lower Decks,47566.7,"7 Feb, 1994"
TNG,166,Thine Own Self,47611.2,"14 Feb, 1994"
TNG,167,Masks,47615.2,"21 Feb, 1994"
TNG,168,Eye Of The Beholder,47622.1,"28 Feb, 1994"
TNG,169,Genesis,47653.2,"21 Mar, 1994"
TNG,170,Journey's End,47751.2,"28 Mar, 1994"
TNG,171,Firstborn,47779.4,"25 Apr, 1994"
TNG,172,Bloodlines,47829.1,"2 May, 1994"
TNG,173,Emergence,47869.2,"9 May, 1994"
TNG,174,Preemptive Strike,47941.7,"16 May, 1994"
TNG,175,All Good Things,47988,"23 May, 1994"
VOY,0,Caretaker,48315.6,January 16 1995
VOY,1,Parallax,48439.7,"January 23, 1995"
VOY,2,Time and Again,Unknown,January 30 1995
VOY,3,Phage,48532.4,February 6 1995
VOY,4,The Cloud,48456.2,February 13 1995
VOY,5,Eye of the Needle,48579.4,February 20 1995
VOY,6,Ex Post Facto,48610.1,February 27 1995
VOY,7,Emanations,48623.5,March 13 1995
VOY,8,Prime Factors,48642.5,March 20 1995
VOY,9,State of Flux,48658.2,April 10 1995
VOY,10,Heroes and Demons,48693.2,April 24 1995
VOY,11,Cathexis,48734.2,May 1 1995
VOY,12,Faces,448784.2,May 8 1995
VOY,13,Jetrel,48823.1,May 15 1995
VOY,14,Learning Curve,48846.5,May 22 1995
VOY,15,The 37's,48975.1,August 28 1995
VOY,16,Initiations,49005.3,September 04 1995
VOY,17,Projections,48892.1,Sep 11 1995
VOY,18,Elogium,48921.3,Sep 18 1995
VOY,19,Non Sequitur,49009.9,September 25 1995
VOY,20,Twisted,Unknown,Oct 2 1995
VOY,21,Parturition,49019.1,October 9 1995
VOY,22,Persistence of Vision,Unknown,October 30 1995
VOY,23,Tattoo,48315.6,November 6 1995
VOY,24,Cold Fire,49164.8,November 13 1995
VOY,25,Maneuvers,49208.5,November 20 1995
VOY,26,Resistance,Unknown,November 27 1995
VOY,27,Prototype,Unknown,January 15 1996
VOY,28,Alliances,49337.4,January 22 1996
VOY,29,Threshold,49373.4,January 29 1996
VOY,30,Meld,Unknown,"February 5, 1996"
VOY,31,Dreadnought,49447,February 12 1996
VOY,32,Death Wish,49301.2,February 19 1996
VOY,33,Lifesigns,49504.3,February 26 1996
VOY,34,Investigations,49485.2,March 13 1996
VOY,35,Deadlock,49548.7,March 18 1996
VOY,36,Innocence,49578.2,"April 8, 1996"
VOY,37,The Thaw,Unknown,April 29 1996
VOY,38,Tuvix,49655.2,May 6 1996
VOY,39,Resolutions,49690.1,May 13 1996
VOY,40,Basics,Unknown,"May 20 and September 4, 1996"
VOY,41,Flashback,50126.4,"November 9, 1996"
VOY,42,The Chute,50156.2,"Sept 18, 1996"
VOY,43,The Swarm,50252.3,September 25 1996
VOY,44,False Profits,50074.3,October 2 1996
VOY,45,Remember,50203.1,October 9 1996
VOY,46,Sacred Ground,50063.2,October 30 1996
VOY,47,Future's End,Unknown,6 + 13 November 1996
VOY,48,Warlord,50348.1,"November 20, 1996"
VOY,49,The Q and the Grey,50384.2,Not given
VOY,50,Macrocosm,50425.1,"December 11, 1996"
VOY,51,Fair Trade,50437.8,"January 8, 1997"
VOY,52,Alter Ego,50460.3,"January 15, 1997"
VOY,53,Coda,50518.6,"29 January, 1997"
VOY,54,Blood Fever,50537.2,"5 February, 1997"
VOY,55,Unity,50614.2,"February 12, 1997"
VOY,56,Darkling,50693.2,"19 February, 1997"
VOY,57,Rise,50567.4,"26 February, 1997"
VOY,58,Favorite Son,50589.1,"19 March, 1997"
VOY,59,Before And After,50601.9,"9th April, 1997"
VOY,60,Real Life,50836.2,"23 April, 1997"
VOY,61,Distant Origin,50899.1,"30 April, 1997"
VOY,62,Displaced,50912.4,"14 May, 1997"
VOY,63,Worst Case Scenario,50971.5,"May 7, 1997"
VOY,64,Scorpion,51001.2,"May 21st, Sept 3rd, 1997"
VOY,65,The Gift,Unknown,"10 September, 1997"
VOY,66,Day of Honor,Unknown,17 September 1997
VOY,67,Nemesis,51082.4,24 September 1997
VOY,68,Revulsion,51186.2,1 October 1997
VOY,69,The Raven,Unknown,8 October 1997
VOY,70,Scientific Method,51244.3,29 October 1997
VOY,71,Year of Hell,51268.4,5 + 12 November 1997
VOY,72,Random Thoughts,51367.2,19 November 1997
VOY,73,Concerning Flight,51386.4,"November 26, 1997"
VOY,74,Mortal Coil,51449.3,17 December 1997
VOY,75,Waking Moments,511471.3,14 January 1998
VOY,76,Message in a Bottle,Unknown,21 January 1998
VOY,77,Hunters,51501.4,11 February 1998
VOY,78,Prey,51652.3,18 February 1998
VOY,79,Retrospect,51679.4,25 February 1998
VOY,80,The Killing Game,Unknown,4 March 1998
VOY,81,Vis a Vis,51762.4,8 April 1998
VOY,82,The Omega Directive,51781.2,"April 15, 1998"
VOY,83,Unforgettable,51813.4,22 April 1998
VOY,84,Living Witness,Unknown,29 April 1998
VOY,85,Demon,Unknown,6 May 1998
VOY,86,One,51929.3,13 May 1998
VOY,87,Hope and Fear,51978.2,20 May 1998
VOY,88,Night,52081.2,14 October 1998
VOY,89,Drone,Unknown,21 October 1998
VOY,90,Extreme Risk,Unknown,28 October 1998
VOY,91,In The Flesh,52136.4,4 November 1998
VOY,92,Once Upon A Time,Unknown,11 November 1998
VOY,93,Timeless,52143.6,18 November 1998
VOY,94,Infinite Regress,52188.7,25 November 1998
VOY,95,Nothing Human,Unknown,2 December 1998
VOY,96,Thirty Days,52179.4,9 Dec 1998
VOY,97,Counterpoint,Unknown,16 December 1998
VOY,98,Latent Image,Unknown,20 January 1999
VOY,99,Bride of Chaotica!,Unknown,27 January 1999
VOY,100,Gravity,52438.9,3 February 1999
VOY,101,Bliss,52542.3,10 February 1999
VOY,102,Dark Frontier,52619.2,17 February 1999
VOY,103,The Disease,Unknown,24 February 1999
VOY,104,Course: Oblivion,52586.3,3 March 1999
VOY,105,The Fight,Unknown,24 March 1999
VOY,106,Think Tank,Unknown,31 March 1999
VOY,107,Juggernaut,Unknown,26 April 1999
VOY,108,Someone To Watch Over Me,52647,28 April 1999
VOY,109,11:59,Unknown,5 May 1999
VOY,110,Relativity,52861.274,12 May 1999
VOY,111,Warhead,Unknown,19 May 1999
VOY,112,Equinox,Unknown,26 May 1999
VOY,113,Survival Instinct,53049.2,25 September 1999
VOY,114,Barge of the Dead,Unknown,6 October 1999
VOY,115,"Tinker, Tenor, Doctor, Spy",Unknown,13 October 1999
VOY,116,Alice,Unknown,20 October 1999
VOY,117,Riddles,53263.2,3 November 1999
VOY,118,Dragon's Teeth,53167.9,"10 November, 1999"
VOY,119,One Small Step,53292.7,17 November 1999
VOY,120,The Voyager Conspiracy,53329,"24 November, 1999"
VOY,121,Pathfinder,Unknown,1 December 1999
VOY,122,Fair Haven,Unknown,12 January 2000
VOY,123,Blink Of An Eye,Unknown,19 January 2000
VOY,124,Virtuoso,53556.4,26 January 2000
VOY,125,Memorial,Unknown,2 February 2000
VOY,126,Tsunkatse,53447.2,9 February 2000
VOY,127,Collective,Unknown,16 February 2000
VOY,128,Spirit Folk,Unknown,23 February 2000
VOY,129,Ashes to Ashes,53679.4,1 March 2000
VOY,130,Child's Play,Unknown,8 March 2000
VOY,131,Good Shepherd,53753.2,15 March 2000
VOY,132,Live Fast And Prosper,53849.2,19 April 2000
VOY,133,Muse,53896,26 April 2000
VOY,134,Fury,Unknown,3 May 2000
VOY,135,Life Line,Unknown,10 May 2000
VOY,136,The Haunting of Deck Twelve,Unknown,17 May 2000
VOY,137,Unimatrix Zero,54014.4,24 May and 4 October 2000
VOY,138,Imperfection,54129.4,11 October 2000
VOY,139,Drive,54058.6,18 Oct 2000
VOY,140,Repression,54090.4,25 October 2000
VOY,141,Critical Care,Unknown,1 November 2000
VOY,142,Inside Man,54208.3,8 November 2000
VOY,143,Body and Soul,54238.3,15 November 2000
VOY,144,Nightingale,54274.7,22 November 2000
VOY,145,Flesh and Blood,Unknown,29 November 2000
VOY,146,Shattered,Unknown,17 January 2001
VOY,147,Lineage,54452.6,24 January 2001
VOY,148,Repentance,Unknown,31 January 2001
VOY,149,Prophecy,54529.8,7 February 2001
VOY,150,The Void,54553.4,14 February 2001
VOY,151,Workforce,545484.3,"21, 28 February 2001"
VOY,152,Human Error,Unknown,7 March 2001
VOY,153,Q2,54704.5,11 April 2001
VOY,154,"Author, Author",54732.3,18 April 2001
VOY,155,Friendship One,54775.4,25 April 2001
VOY,156,Natural Law,54827.7,2 May 2001
VOY,157,Homestead,54868.6,9 May 2001
VOY,158,Renaissance Man,54890.7,16 May 2001
VOY,159,Endgame,54973.4,23 May 2001
ENT,0,Broken Bow,"Apr 16, 2151","21 Sep, 2001"
ENT,1,Fight or Flight,"May 6, 2151","3 Oct, 2001"
ENT,2,Strange New World,Unknown,"10 Oct, 2001"
ENT,3,Unexpected,Unknown,"17 Oct, 2001"
ENT,4,Terra Nova,Unknown,"21 Oct, 2001"
ENT,5,The Andorian Incident,Unknown,"31 Oct, 2001"
ENT,6,Breaking The Ice,Unknown,"7 Nov, 2001"
ENT,7,Civilization,"Jul 31, 2151","14 Nov, 2001"
ENT,8,Fortunate Son,Not given,"21 Nov, 2001"
ENT,9,Cold Front,Not given,"28 Nov, 2001"
ENT,10,Silent Enemy,"Sep 1, 2151","16 Jan, 2002"
ENT,11,Dear Doctor,Not given,"23 Jan, 2002"
ENT,12,Sleeping Dogs,Not given,"30 Jan, 2002"
ENT,13,Shadows of P'Jem,Not given,"6 Feb, 2002"
ENT,14,Shuttlepod One,"9 Nov, 2151","Feb 13, 2002"
ENT,15,Fusion,Not given,"27 Feb, 2002"
ENT,16,Rogue Planet,Not given,"20 Mar, 2002"
ENT,17,Acquisition,Not given,"27 Mar, 2002"
ENT,18,Oasis,Not given,"3 Apr, 2002"
ENT,19,Detained,Not given,"24 Apr, 2002"
ENT,20,Vox Sola,Not given,"1 May, 2002"
ENT,21,Fallen Hero,"Feb 9, 2152","8 Mar, 2002"
ENT,22,Desert Crossing,"Feb 12, 2152","8 May, 2002"
ENT,23,Two Days And Two Nights,"Feb 18, 2152","15 May, 2002"
ENT,24,Shockwave Part 1,Not given,"22 May, 2002"
ENT,25,Shockwave Part 2,Not given,"18 Sep, 2002"
ENT,26,Carbon Creek,"April, 2152","25 Sep, 2002"
ENT,27,Minefield,Not given,"2 Oct, 2002"
ENT,28,Dead Stop,Not given,"9 Oct, 2002"
ENT,29,A Night In Sickbay,Not given,"16 Oct, 2002"
ENT,30,Marauders,Not given,"30 Oct, 2002"
ENT,31,The Seventh,Not given,"6 Nov, 2002"
ENT,32,The Communicator,Not given,"Nov 13, 2002"
ENT,33,Singularity,"Aug 14, 2152","20 Nov, 2002"
ENT,34,Vanishing Point,Not given,"27 Nov, 2002"
ENT,35,Precious Cargo,"Sep 12, 2152","11 Dec, 2002"
ENT,36,The Catwalk,"Sep 18, 2152","18 Dec, 2002"
ENT,37,Dawn,Not given,"8 Jan, 2003"
ENT,38,Stigma,Not given,"5 Feb, 2003"
ENT,39,Cease Fire,Not given,"12 Feb, 2003"
ENT,40,Future Tense,Not given,"19 Feb, 2003"
ENT,41,Canamar,Not given,"Feb 26, 2003"
ENT,42,The Crossing,Not given,"2 Apr, 2003"
ENT,43,Judgment,Not given,"9 Apr, 2003"
ENT,44,Horizon,"Jan 10, 2153","16 Apr, 2003"
ENT,45,The Breach,Not given,"23 Apr, 2003"
ENT,46,Cogenitor,Not given,"30 Apr, 2003"
ENT,47,Regeneration,"Mar 1, 2153","7 May, 2003"
ENT,48,First Flight,Not given,"14 May, 2003"
ENT,49,Bounty,"Mar 21, 2153","14 May, 2003"
ENT,50,The Expanse,"Apr 24, 2153","21 May, 2003"
ENT,51,The Xindi,Not given,"10 September, 2003"
ENT,52,Anomaly,Not given,"17 September, 2003"
ENT,53,Extinction,Not given,"24 September, 2003"
ENT,54,Rajiin,Not given,"1 Oct, 2003"
ENT,55,Impulse,Not given,"10 Oct, 2003"
ENT,56,Exile,Not given,"15 Oct, 2003"
ENT,57,The Shipment,Not given,"Oct 29, 2003"
ENT,58,Twilight,Not given,"5 Nov, 2003"
ENT,59,North Star,Not given,"12 Nov, 2003"
ENT,60,Similitude,Not given,"19 Nov, 2003"
ENT,61,Carpenter Street,Not given,"26 Nov, 2003"
ENT,62,Chosen Realm,Not given,"14 Jan, 2004"
ENT,63,Proving Ground,"Dec 6, 2153","21 Jan, 2004"
ENT,64,Stratagem,"Dec 12, 2153","1 Feb, 2004"
ENT,65,Harbinger,"Dec 27, 2153","11 Feb, 2004"
ENT,66,Doctor's Orders,Not given,"18 Feb, 2004"
ENT,67,Hatchery,"Jan 8, 2154","25 Feb, 2004"
ENT,68,Azati Prime,Not given,"3 Mar, 2004"
ENT,69,Damage,Not given,"21 Apr, 2004"
ENT,70,The Forgotten,Not given,"Apr 28, 2004"
ENT,71,E2,Not given,"5 May, 2004"
ENT,72,The Council,Not given,"12 May, 2004"
ENT,73,Countdown,"Feb 13, 2154","19 May, 2004"
ENT,74,Zero Hour,"Feb 14, 2154","26 May, 2004"
ENT,75,Storm Front Part 1,Not given,"8 Oct, 2004"
ENT,76,Storm Front Part 2,Not given,"15 Oct, 2004"
ENT,77,Home,Not given,"22 Oct, 2004"
ENT,78,Borderland,"May 17, 2154","29 Oct, 2004"
ENT,79,Cold Station 12,Not given,"5 Nov, 2004"
ENT,80,The Augments,"May 27, 2154","12 Nov, 2004"
ENT,81,The Forge,Not given,"19 Nov, 2004"
ENT,82,Awakening,Not given,"26 Nov, 2004"
ENT,83,Kir'Shara,Not given,"3 Dec, 2004"
ENT,84,Daedalus,Not given,"14 Jan, 2005"
ENT,85,Observer Effect,Not given,"21 Jan, 2005"
ENT,86,Babel One,"Nov 12, 2154","28 Jan, 2005"
ENT,87,United,Not given,"4 Feb, 2005"
ENT,88,The Aenar,Not given,"11 Feb, 2005"
ENT,89,Affliction,"Nov 27, 2154","18 Feb, 2005"
ENT,90,Divergence,Not given,"25 Feb, 2005"
ENT,91,Bound,"Dec 27, 2154","25 Mar, 2005"
ENT,92,In A Mirror,Not given,"22 Apr, 2005"
ENT,93,In A Mirror,Not given,"29 Apr, 2005"
ENT,94,Demons,"Jan 19, 2155","6 May, 2005"
ENT,95,Terra Prime,Not given,"13 May, 2005"
ENT,96,These Are The Voyages...,Not given,"13 May, 2005"
